Medical Laboratory Technician

ANZSCO 311213
Operating Theatre Technician

ANZSCO 311214
Pharmacy Technician

ANZSCO 311215
Pathology Collector

ANZSCO 311216
Medical Technicians nec

ANZSCO 311299
Meat Inspector

ANZSCO 311312
Primary Products Inspectors nec

ANZSCO 311399
Chemistry Technician

ANZSCO 311411
Earth Science Technician

ANZSCO 311412
Life Science Technician

ANZSCO 311413
Science Technicians nec

ANZSCO 311499
Architectural Draftsperson

ANZSCO 312111
Building Inspector

ANZSCO 312113
Construction Estimator

ANZSCO 312114
Surveying or Spatial Science Technician

ANZSCO 312116
"Architectural, Building and Surveying Technicians nec"

ANZSCO 312199
Civil Engineering Draftsperson

ANZSCO 312211
Civil Engineering Technician

ANZSCO 312212
Electrical Engineering Draftsperson

ANZSCO 312311
Electrical Engineering Technician

ANZSCO 312312
Mechanical Engineering Draftsperson

ANZSCO 312511
Mechanical Engineering Technician

ANZSCO 312512
Safety Inspector

ANZSCO 312611
Maintenance Planner

ANZSCO 312911
Metallurgical or Materials Technician

ANZSCO 312912
Mine Deputy

ANZSCO 312913
Building and Engineering Technicians nec

ANZSCO 312999
Web Administrator

ANZSCO 313113
ICT Support Technicians nec

ANZSCO 313199
Radiocommunications Technician

ANZSCO 313211
Telecommunications Field Engineer

ANZSCO 313212
Telecommunications Network Planner

ANZSCO 313213
Telecommunications Technical Officer or Technologist

ANZSCO 313214
Automotive & Engineering Trades Workers
Automotive Electrician

ANZSCO 321111
Motor Mechanic (General)

ANZSCO 321211
Diesel Motor Mechanic

ANZSCO 321212
Motorcycle Mechanic

ANZSCO 321213
Small Engine Mechanic

ANZSCO 321214
Sheetmetal Trades Worker

ANZSCO 322211
Metal Fabricator

ANZSCO 322311
Pressure Welder

ANZSCO 322312
Welder (First Class)

ANZSCO 322313
Aircraft Maintenance Engineer (Avionics)

ANZSCO 323111
Aircraft Maintenance Engineer (Mechanical)

ANZSCO 323112
Aircraft Maintenance Engineer (Structures)

ANZSCO 323113
Fitter (General)

ANZSCO 323211
Fitter and Turner

ANZSCO 323212
Fitter-Welder

ANZSCO 323213
Metal Machinist (First Class)

ANZSCO 323214
Metal Fitters and Machinists nec

ANZSCO 323299
Panelbeater

ANZSCO 324111
Construction Trades Workers
Bricklayer

ANZSCO 331111
Stonemason

ANZSCO 331112
Carpenter and Joiner

ANZSCO 331211
Carpenter

ANZSCO 331212
Joiner

ANZSCO 331213
Floor Finisher

ANZSCO 332111
Painting Trades Worker

ANZSCO 332211
Glazier

ANZSCO 333111
Fibrous Plasterer

ANZSCO 333211
Solid Plasterer

ANZSCO 333212
Roof Tiler

ANZSCO 333311
Wall and Floor Tiler

ANZSCO 333411
Plumber (General)

ANZSCO 334111
Airconditioning and Mechanical Services Plumber

ANZSCO 334112
Drainer

ANZSCO 334113
Gasfitter

ANZSCO 334114
Roof Plumber

ANZSCO 334115
Electrotechnology & Telecommunications Trades Workers
Electrician (General)

ANZSCO 341111
Electrician (Special Class)

ANZSCO 341112
Airconditioning and Refrigeration Mechanic

ANZSCO 342111
Electrical Linesworker

ANZSCO 342211
Technical Cable Jointer

ANZSCO 342212
Business Machine Mechanic

ANZSCO 342311
Electronic Equipment Trades Worker

ANZSCO 342313
Electronic Instrument Trades Worker (General)

ANZSCO 342314
Electronic Instrument Trades Worker (Special Class)

ANZSCO 342315
Cabler (Data and Telecommunications)

ANZSCO 342411
Telecommunications Linesworker

ANZSCO 342413
Food Trades Workers
Baker

ANZSCO 351111
Pastry Cook

ANZSCO 351112
Butcher or Smallgoods Maker

ANZSCO 351211
Chef

ANZSCO 351311
Cook

ANZSCO 351411
Skilled Animal & Horticultural Workers
Veterinary Nurse

ANZSCO 361311
Arborist

ANZSCO 362212
Landscape Gardener

ANZSCO 362213
Other Technicians & Trades Workers
Print Finisher

ANZSCO 392111
Cabinetmaker

ANZSCO 394111
Health & Welfare Support Workers
Ambulance Officer

ANZSCO 411111
Intensive Care Ambulance Paramedic

ANZSCO 411112
Dental Hygienist

ANZSCO 411211
Dental Technician

ANZSCO 411213
Dental Therapist

ANZSCO 411214
Diversional Therapist

ANZSCO 411311
Enrolled Nurse

ANZSCO 411411
Massage Therapist

ANZSCO 411611
Community Worker

ANZSCO 411711
Disabilities Services Officer

ANZSCO 411712
Family Support Worker

ANZSCO 411713
Residential Care Officer

ANZSCO 411715
Youth Worker

ANZSCO 411716
Protective Services Workers
Emergency Service Worker

ANZSCO 441211
Sports & Personal Service Workers
Other Sports Coach or Instructor

ANZSCO 452317
Sports Development Officer

ANZSCO 452321
Footballer

ANZSCO 452411
Office Managers & Program Administrators
Contract Administrator

ANZSCO 511111
Program or Project Administrator

ANZSCO 511112
Other Clerical and Administrative Workers
Clinical Coder

ANZSCO 599915
